ImageId,ImageUrl,ImageTitle,Humantext,AHREFS,ASU,Popupsmart,ChatGPT
PANORAMA1,https://upload.wikimedia.org/wikipedia/commons/8/85/Sargent_-_Familie_Sitwell.jpg,"John Singer Sargent, George Sitwell, Lady Ida Sitwell and Family, 1900. Oil on canvas","Oil painting of a woman in a long white dress with two young children and a small black dog at her feet. To the left stand a man in a black suit with his arm around the shoulder of an adolescent girl dressed in red.","John Singer Sargent's 1900 painting of George Sitwell, Lady Ida Sitwell, and family gathered around a table in a cozy room.","Painting of a family from 1900, including a man, woman, two children, and a girl in a red dress.","A formal family portrait featuring individuals in elegant attire, accompanied by children playing on the floor and decorative furnishings.","A family portrait featuring a woman in a white gown, a man in a dark suit, a girl in a red dress, and two children playing on the floor with a dog. The scene is set in an elegant, richly decorated interior."
PANORAMA2,https://upload.wikimedia.org/wikipedia/commons/7/78/Mother_and_Child_-_Cassatt_1905.jpg,"Mary Cassatt, Woman with a Sunflower, c. 1905. Oil on canvas","A nude child sits on the lap of a woman with red hair, who wears a green and yellow nightgown with a large sunflower at her breast. The woman and child's reflections are visible in two mirrors, one on the wall and one held by the child.","Mary Cassatt's painting features a woman and child in a chair, with a sunflower, showcasing warmth and intimacy.","Woman in a yellow dress with a sunflower, holding a child on her lap in front of a mirror.","A woman seated in a chair holds a young child, both adorned in vibrant clothing, surrounded by mirrors and flowers.",A woman in a yellow dress holds a small child on her lap as the child looks into a handheld mirror.
PANORAMA3,https://upload.wikimedia.org/wikipedia/commons/1/1c/Edmonia_Lewis_by_Henry_Rocher.jpg,"Henry Rocher, Edmonia Lewis, c. 1870. Albumen silver print","Sepia-toned photograph of a Black woman seated on a chair, wearing a pillbox-style cap, a long dress, and a velvet shawl wrapped around her upper body.","An old photograph of Edmonia Lewis seated on a chair, captured by Henry Rocher, circa 1870, albumen silver print.","A seated individual from the 1870s in a sepia-toned photograph, wrapped in a dark shawl with fringes.","A seated individual draped in a fringed shawl, wearing a modest white dress, sits against a plain backdrop, showcasing vintage attire.","A seated woman poses for a vintage studio portrait, wrapped in a fringed shawl and looking slightly to the side."
PANORAMA4,https://upload.wikimedia.org/wikipedia/commons/c/cc/Hiawatha%27s_Marriage_by_Edmonia_Lewis%2C_1871%2C_marble_-_Cincinnati_Art_Museum_-_DSC04532.JPG,"Edmonia Lewis, Marriage of Hiawatha, modeled 1866, carved 1874. Marble","Marble statue of a stereotypically dressed Native American couple standing side by side. The man is taller and wears an animal-tooth necklace, fringed skirt, and feather headdress. The woman is more modestly attired in an almost Grecian knee-length garment; she also wears feathers in her hair. They clasp right hands and gaze at each other; the man's left arm is around the woman's shoulder.","Statue of a man and woman by Edmonia Lewis, titled ""Marriage of Hiawatha,"" carved in marble, 1874.","Marble sculpture ""Marriage of Hiawatha"" by Edmonia Lewis depicting a man and woman holding hands.","A white marble sculpture depicting two figures in traditional attire, standing closely and holding hands on a decorated base.",White marble sculpture of two figures standing close together and holding hands.
PANORAMA5,https://upload.wikimedia.org/wikipedia/commons/9/90/Maya_Lin%2C_Flow%2C_2009.jpg,"Maya Lin, Flow, 2009. FSC certified spruce, pine, and fir 2 x 4 planks","View of a gallery interior with a sculpture made of sections of unfinished 2 x 4 wood timbers cut at different heights to create a wave-length effect. The sculpture is set directly on the hardwood floor.","Wooden sculpture titled ""Flow"" by Maya Lin, 2009, displayed in an art gallery against a white wall.",Undulating wooden sculpture by Maya Lin in a spacious gallery.,"A wooden sculptural installation resembling rolling hills, set in a spacious art gallery with light-colored walls.","A wooden, wave-like floor installation displayed in a bright, minimal gallery space."
PANORAMA6,https://upload.wikimedia.org/wikipedia/commons/a/a0/Cabinet_Card_of_Sojourner_Truth_-_Collection_of_the_National_Museum_of_African_American_History_and_Culture.jpg,"Unknown photographer, I Sell the Shadow to Support the Substance, 1864","Sepia-toned photograph of a seated Black woman wearing a white cap and shawl. Text at the bottom reads &quot;I Sell the Shadow to Support the Substance. / Sojourner Truth,"A vintage photograph depicting a woman sitting at a table, surrounded by nostalgic furnishings and soft lighting.","Sepia-toned photograph of a woman seated with a vase of flowers on a table beside her, 1864 and includes text 'I Sell the Shadow to Support the Substance. SOJOURNER TRUTH'","A seated woman in 19th-century clothing holds thread and fabric, next to a table with a small flower arrangement.","Portrait of an older woman seated with knitting in her lap, wearing a bonnet and shawl beside a table with flowers."
PANORAMA7,https://upload.wikimedia.org/wikipedia/commons/a/a9/Susan_Walker_Morse_%28The_Muse%29.jpg,"Samuel F. B. Morse, The Muse: Susan Walker Morse, 1837. Oil on canvas","Formal oil portrait in the grand manner, showing a woman in a gold gown, seated on a red chaise, holding an open sketchbook on her lap with a pencil in her right hand, looking off into the distance. Behind her is a green velvet curtain pulled aside to reveal architectural elements and a twilight sky with pink clouds.","An oil painting depicting a woman on a red couch, titled ""The Muse: Susan Walker Morse"" by Samuel F. B. Morse, 1837","A woman seated indoors, holding a sketchbook and pencil, with a dramatic sky visible outside.","A woman in a golden gown sits elegantly on a red sofa with lace trim, holding an open sketchbook against a dramatic sky backdrop.","A young woman in a gold dress sits on a red chair, holding a sketchbook and pencil, with a dramatic sunset sky in the background."
PANORAMA8,https://upload.wikimedia.org/wikipedia/commons/b/b0/John_Singer_Sargent_-_The_Fountain%2C_Villa_Torlonia%2C_Frascati%2C_Italy_-_Google_Art_Project.jpg,"John Singer Sargent, The Fountain, Villa Torlonia, Frascati, Italy, 1907. Oil on canvas","Oil painting of a man and woman seated by a garden fountain with trees beyond. The woman is wearing a hat and a painter's smock and is holding a palette as she paints a canvas on an easel.","A painting by John Singer Sargent depicting two people seated by a fountain at Villa Torlonia, Frascati, Italy, 1907.","Two people seated by a fountain at Villa Torlonia, with lush greenery and water cascading in the background.","An artist in white attire paints at an easel beside a fountain, surrounded by lush greenery and art supplies scattered nearby.","An artist in white paints outdoors beside a fountain, while another person watches nearby."
PANORAMA9,https://upload.wikimedia.org/wikipedia/commons/b/bd/Uncle_sam_war_bonds.jpg,"N. C. Wyeth, Uncle Sam, or Buy War Bonds, 1942. Offset lithography","Poster with white-haired man standing above an army, holding an American flag, while planes fly overhead","N. C. Wyeth's 1942 poster depicts Uncle Sam encouraging citizens to support the war by purchasing war bonds.","Poster with Uncle Sam holding an American flag, soldiers advancing, and planes flying overhead. Text reads ""Buy War Bonds"".","A patriotic Uncle Sam waves an American flag, urging support for war bonds, with soldiers and planes in the background.","Wartime poster of Uncle Sam holding an American flag with soldiers and planes, urging people to buy war bonds."
PANORAMA10,https://upload.wikimedia.org/wikipedia/commons/7/7e/Samuel_Finley_Breese_Morse_-_Daguerreotype_-3g12153v.jpg,"Samuel F. B. Morse, ca. 1845. Daguerreotype","Sepia-toned oval photographic portrait of an older white man from the shoulders up. He is clean shaven and wears a white shirt, dark jacket, and dark cravat.","Daguerreotype of Samuel F. B. Morse, circa 1845, depicting a man in a suit from the mid-19th century.",Daguerreotype portrait of a man in a gold and red frame.,"A vintage portrait in an ornate, gilded frame, featuring a subject dressed in 19th-century attire, with a rich, dark background.","Daguerreotype portrait of an older man in a formal suit, framed in an ornate case."
